file_extension,file_size_mb,days_since_modified,days_since_accessed,duplicate_count,action_label
.log,93,271,281,3,CLEANUP
.jpg,103,122,140,2,REVIEW
.pdf,88,100,107,3,CLEANUP
.zip,53,258,281,3,CLEANUP
.json,130,192,219,0,REVIEW
.jpg,58,22,50,3,CLEANUP
.pdf,59,170,197,3,CLEANUP
.log,190,175,204,2,CLEANUP
.log,64,131,135,2,CLEANUP
.zip,73,167,184,3,CLEANUP
.json,14,242,267,0,KEEP
.pdf,130,340,367,2,REVIEW
.zip,172,264,278,2,REVIEW
.json,164,50,57,3,CLEANUP
.tmp,134,54,63,3,CLEANUP
.docx,191,218,229,1,REVIEW
.log,14,351,366,2,CLEANUP
.pdf,190,296,316,3,CLEANUP
.png,111,53,76,1,KEEP
.csv,188,41,69,2,REVIEW
.docx,89,327,335,3,CLEANUP
.log,136,63,73,2,CLEANUP
.png,163,289,315,0,CLEANUP
.json,41,28,34,0,KEEP
.zip,162,33,48,2,REVIEW
.tmp,37,99,110,3,CLEANUP
.tmp,35,227,231,2,CLEANUP
.png,1,5,30,2,KEEP
.png,103,283,291,2,REVIEW
.mp4,42,179,185,0,KEEP
.tmp,96,222,226,2,CLEANUP
.jpg,143,171,199,3,CLEANUP
.json,71,187,205,1,KEEP
.rar,170,45,74,0,KEEP
.pdf,28,28,39,3,CLEANUP
.mp4,190,331,356,2,CLEANUP
.rar,190,225,225,0,REVIEW
.zip,121,116,128,0,KEEP
.tmp,198,137,166,0,CLEANUP
.zip,172,152,166,2,REVIEW
.tmp,96,233,252,0,CLEANUP
.pdf,186,52,63,1,KEEP
.zip,131,113,117,0,KEEP
.csv,187,113,114,1,KEEP
.mp4,87,224,224,0,KEEP
.docx,130,53,64,1,KEEP
.csv,160,247,250,2,REVIEW
.png,123,255,260,3,CLEANUP
.mp4,98,198,219,2,REVIEW
.txt,144,97,105,3,CLEANUP
.jpg,93,259,278,3,CLEANUP
.zip,147,346,348,2,REVIEW
.docx,96,199,218,0,KEEP
.zip,128,39,56,3,CLEANUP
.pdf,185,151,180,1,KEEP
.tmp,144,346,361,0,CLEANUP
.jpg,113,2,2,3,CLEANUP
.csv,197,37,63,2,REVIEW
.log,99,147,162,3,CLEANUP
.rar,152,54,77,0,KEEP
.zip,75,113,120,3,CLEANUP
.rar,84,254,256,3,CLEANUP
.pdf,99,153,181,1,KEEP
.docx,82,194,215,2,REVIEW
.zip,169,161,164,0,REVIEW
.mp4,48,135,137,0,KEEP
.tmp,176,22,35,1,KEEP
.csv,109,51,72,3,CLEANUP
.zip,21,286,286,3,CLEANUP
.zip,197,317,332,2,CLEANUP
.jpg,192,49,65,3,CLEANUP
.json,46,6,8,3,CLEANUP
.pdf,24,349,365,1,KEEP
.csv,99,188,188,3,CLEANUP
.tmp,160,161,163,3,CLEANUP
.log,54,58,60,3,CLEANUP
.pdf,114,288,302,1,REVIEW
.log,127,155,164,1,CLEANUP
.tmp,104,299,320,3,CLEANUP
.jpg,170,247,272,2,REVIEW
.tmp,152,13,40,1,KEEP
.pdf,36,173,192,0,KEEP
.pdf,144,142,153,2,REVIEW
.log,92,354,355,3,CLEANUP
.jpg,86,51,75,1,KEEP
.jpg,125,150,175,1,KEEP
.pdf,180,170,175,2,REVIEW
.log,188,101,101,3,CLEANUP
.png,108,5,11,3,CLEANUP
.rar,116,350,364,2,REVIEW
.zip,52,144,156,1,REVIEW
.jpg,158,147,163,3,CLEANUP
.tmp,92,58,80,1,CLEANUP
.pdf,117,318,340,2,REVIEW
.zip,129,58,83,0,KEEP
.mp4,96,126,147,3,CLEANUP
.docx,117,272,300,2,REVIEW
.zip,69,278,306,2,REVIEW
.pdf,154,144,162,0,KEEP
.pdf,29,220,224,2,KEEP
.pdf,190,204,219,1,REVIEW
.png,85,39,42,0,KEEP
.mp4,101,23,48,1,KEEP
.json,100,290,309,2,REVIEW
.pdf,147,96,96,3,CLEANUP
.zip,4,16,39,3,CLEANUP
.zip,128,160,186,3,CLEANUP
.jpg,178,163,190,0,REVIEW
.mp4,179,101,112,2,REVIEW
.txt,168,330,340,3,CLEANUP
.tmp,12,95,108,1,CLEANUP
.pdf,35,215,231,1,KEEP
.tmp,154,90,119,1,CLEANUP
.tmp,135,196,221,0,CLEANUP
.log,75,217,237,0,CLEANUP
.tmp,138,357,365,3,CLEANUP
.txt,177,99,114,3,CLEANUP
.log,96,152,174,1,CLEANUP
.jpg,12,183,195,2,KEEP
.png,105,286,302,0,REVIEW
.jpg,112,217,238,0,REVIEW
.rar,177,100,111,0,KEEP
.json,76,265,271,3,CLEANUP
.csv,128,52,70,1,KEEP
.zip,117,69,71,3,CLEANUP
.tmp,123,53,75,3,CLEANUP
.txt,109,181,190,1,REVIEW
.pdf,122,133,135,2,REVIEW
.jpg,75,146,160,3,CLEANUP
.zip,186,253,258,2,REVIEW
.mp4,168,170,178,1,KEEP
.rar,194,5,33,0,KEEP
.docx,136,321,342,3,CLEANUP
.docx,71,217,229,3,CLEANUP
.log,159,275,303,3,CLEANUP
.jpg,91,202,227,2,REVIEW
.pdf,195,173,185,1,REVIEW
.mp4,58,148,175,3,CLEANUP
.pdf,105,1,3,0,KEEP
.docx,191,312,312,1,CLEANUP
.mp4,58,44,56,3,CLEANUP
.jpg,47,149,164,1,KEEP
.json,164,227,245,3,CLEANUP
.pdf,47,233,249,1,KEEP
.tmp,1,54,75,2,CLEANUP
.json,185,12,21,3,CLEANUP
.pdf,102,156,176,3,CLEANUP
.docx,164,90,97,1,KEEP
.docx,28,220,224,0,KEEP
.tmp,155,145,153,0,CLEANUP
.mp4,157,46,48,0,KEEP
.json,115,256,260,2,REVIEW
.json,10,312,341,1,KEEP
.jpg,5,119,142,0,KEEP
.png,146,224,238,0,REVIEW
.log,26,63,87,1,CLEANUP
.txt,177,98,106,2,REVIEW
.pdf,149,311,316,3,CLEANUP
.txt,95,133,138,2,REVIEW
.jpg,53,165,174,1,KEEP
.log,85,78,86,1,CLEANUP
.tmp,173,205,208,1,CLEANUP
.rar,32,34,61,2,KEEP
.pdf,154,250,251,1,REVIEW
.png,123,306,317,0,REVIEW
.jpg,133,222,248,0,REVIEW
.jpg,47,207,211,0,KEEP
.zip,75,103,108,3,CLEANUP
.pdf,38,306,307,1,KEEP
.log,91,308,332,1,CLEANUP
.mp4,79,30,52,1,KEEP
.rar,133,285,288,1,REVIEW
.json,74,273,300,3,CLEANUP
.mp4,34,262,282,1,KEEP
.tmp,43,240,250,2,CLEANUP
.jpg,151,183,198,2,REVIEW
.mp4,144,8,11,3,CLEANUP
.zip,25,195,197,2,REVIEW
.zip,178,61,86,2,REVIEW
.pdf,5,92,101,0,KEEP
.pdf,70,1,5,0,KEEP
.log,46,34,50,1,CLEANUP
.log,155,73,98,0,CLEANUP
.mp4,56,350,360,2,REVIEW
.log,81,26,29,0,KEEP
.pdf,99,253,272,2,REVIEW
.jpg,56,214,227,1,KEEP
.png,78,216,217,0,KEEP
.pdf,187,312,330,2,CLEANUP
.zip,151,238,248,2,REVIEW
.pdf,18,294,296,2,KEEP
.docx,119,28,37,2,REVIEW
.tmp,86,126,137,0,CLEANUP
.rar,25,68,77,2,KEEP
.zip,146,111,114,2,REVIEW
.png,111,264,271,0,REVIEW
.jpg,42,101,106,3,CLEANUP
.zip,187,315,327,1,CLEANUP
.jpg,33,150,170,1,KEEP
.log,112,4,33,2,REVIEW
.pdf,94,95,118,2,REVIEW
.rar,131,243,250,0,REVIEW
.csv,6,322,341,3,CLEANUP
.json,79,134,155,0,KEEP
.mp4,179,62,86,1,KEEP
.jpg,136,26,44,0,KEEP
.png,70,118,121,2,REVIEW
.docx,20,113,124,2,KEEP
.png,142,320,325,0,REVIEW
.jpg,100,333,343,2,REVIEW
.pdf,178,10,14,2,REVIEW
.jpg,130,13,20,1,KEEP
.pdf,63,101,109,0,KEEP
.pdf,143,38,60,2,REVIEW
.log,49,69,98,3,CLEANUP
.csv,78,137,138,3,CLEANUP
.log,1,296,317,3,CLEANUP
.rar,72,267,275,0,REVIEW
.docx,30,291,311,0,KEEP
.txt,123,78,103,1,KEEP
.log,42,89,106,3,CLEANUP
.mp4,104,14,32,0,KEEP
.tmp,23,63,77,0,CLEANUP
.docx,194,309,316,3,CLEANUP
.zip,179,198,203,2,REVIEW
.zip,42,15,29,0,KEEP
.mp4,155,157,162,0,KEEP
.tmp,155,289,318,3,CLEANUP
.jpg,10,5,31,1,KEEP
.log,38,159,173,3,CLEANUP
.mp4,180,184,198,0,REVIEW
.jpg,157,47,50,3,CLEANUP
.png,155,95,113,2,REVIEW
.jpg,26,299,325,0,KEEP
.txt,74,360,365,1,KEEP
.mp4,47,346,359,2,KEEP
.docx,141,104,133,1,KEEP
.jpg,111,104,131,2,REVIEW
.json,100,324,328,3,CLEANUP
.pdf,127,106,122,3,CLEANUP
.log,137,51,79,1,CLEANUP
.json,11,257,270,0,KEEP
.csv,110,182,204,0,REVIEW
.log,182,55,73,3,CLEANUP
.jpg,175,309,317,1,CLEANUP
.txt,117,154,162,2,REVIEW
.log,25,90,100,1,CLEANUP
.log,162,347,363,3,CLEANUP
.docx,108,251,269,1,REVIEW
.docx,199,180,185,0,REVIEW
.json,177,285,295,1,REVIEW
.docx,114,49,55,0,KEEP
.csv,177,148,169,1,KEEP
.pdf,189,360,376,2,CLEANUP
.jpg,141,215,233,2,REVIEW
.txt,62,32,61,0,KEEP
.zip,30,144,151,2,REVIEW
.pdf,78,175,192,1,KEEP
.jpg,113,114,143,1,KEEP
.png,132,264,292,2,REVIEW
.json,32,266,275,2,KEEP
.zip,124,87,109,3,CLEANUP
.txt,135,349,356,0,REVIEW
.jpg,67,255,283,3,CLEANUP
.pdf,67,51,51,3,CLEANUP
.docx,162,291,314,1,CLEANUP
.jpg,46,165,186,0,KEEP
.mp4,55,7,16,2,REVIEW
.png,85,147,162,0,KEEP
.rar,29,188,205,1,REVIEW
.json,197,11,20,2,REVIEW
.log,119,20,24,0,KEEP
.mp4,137,226,246,3,CLEANUP
.docx,86,364,387,0,KEEP
.rar,120,59,72,2,REVIEW
.txt,114,115,131,1,KEEP
.png,194,237,261,2,REVIEW
.docx,22,235,248,3,CLEANUP
.pdf,29,109,110,2,KEEP
.zip,70,146,166,1,REVIEW
.jpg,166,34,50,0,KEEP
.zip,122,76,98,0,KEEP
.pdf,27,313,318,2,KEEP
.jpg,12,237,261,0,KEEP
.docx,173,190,215,1,REVIEW
.pdf,54,363,363,2,REVIEW
.pdf,115,282,310,0,REVIEW
.txt,11,164,180,2,KEEP
.tmp,54,98,120,2,CLEANUP
.csv,150,69,92,0,KEEP
.tmp,148,227,246,2,CLEANUP
.rar,109,201,226,1,REVIEW
